file_year,codigo_contrato,num_contrato,titulo_contrato,proveedor,rfc,situacion,definitivo_dof,fecha_contrato,firmado_despues_definitivo,institucion,nombre_uc,orden_gobierno,estado_comprador,tipo_procedimiento,importe,moneda_efectiva,direccion_anuncio
2023,C-2023-00167802,CV-004-57/2023,HERRAMIENTAS MENORES,COMERCIO Y CONSTRUCCION DE TABASCO SA DE CV,CCT1808139U3,Definitivo,2025-12-12,2023-11-07,False,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE TABASCO,DIRECCIÓN FINANCIERA,GEM,TABASCO,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,40281.96,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/ad12477f1226496b9d306555b179c779/procedimiento
2023,C-2023-00020522,D233007,ADQUISICIÓN DE TÓNER PARA EQUIPO DE IMPRESIÓN,SOURCE TONER DE MEXICO SA DE CV,STM070612K15,Presunto,,2023-03-30,False,INSTITUTO MEXICANO DEL SEGURO SOCIAL,"OOAD, ESTADO DE MEXICO PONIENTE, COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO",APF,,LICITACIÓN PÚBLICA,9219750.0,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/5d081cccfa8f41278ad9e0c709ae0aae/procedimiento
2023,C-2023-00030582,D233001,ADQUISICIÓN DE CONSUMIBLES PARA EQUIPO DE IMPRESIÓN TONERS,SOURCE TONER DE MEXICO SA DE CV,STM070612K15,Presunto,,2023-04-14,False,INSTITUTO MEXICANO DEL SEGURO SOCIAL,COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,APF,,LICITACIÓN PÚBLICA,8213760.0,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/5f4b39ecd3384cb5b5d9875f58e5f2ad/procedimiento
2023,C-2023-00065711,D233004,MATERIAL DE USO EN EQUIPOS DE CÓMPUTO (TONER) PARA EL EJERCICIO 2023,SOURCE TONER DE MEXICO SA DE CV,STM070612K15,Presunto,,2023-06-08,False,INSTITUTO MEXICANO DEL SEGURO SOCIAL,COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,APF,,LICITACIÓN PÚBLICA,5162388.0,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a3e1ffe485394c759c5b962af604f230/procedimiento
2023,C-2023-00035743,D233003,LA-50-GYR-050GYR010-I-18-2023 SUMINISTRO CONSUMIBLES EQUIPOS IMPRESION,SOURCE TONER DE MEXICO SA DE CV,STM070612K15,Presunto,,2023-05-04,False,INSTITUTO MEXICANO DEL SEGURO SOCIAL,COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,APF,,LICITACIÓN PÚBLICA,3013940.0,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/5235461b4cc742c9986c67ad91f11071/procedimiento
2023,C-2023-00082792,CEAA-ADQ-PROAGUA-MFIJ-07/2023,ACCIONES DE DESINFECCIÓN DEL AGUA PURIFICADOR DE AGUA DE ULTRA O NANO (EQ6A  DO,CONSTRUCCIONES TEKSARE SA DE CV,CTE210319SQA,Presunto,,2023-08-01,False,COMISIÓN ESTATAL DE AGUA Y ALCANTARILLADO,SUBDIRECCIÓN DE LICITACIONES Y PRECIOS UNITARIOS,GEM,HIDALGO,LICITACIÓN PÚBLICA,1411244.4,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/17ed927d25ef481296ef7e1930335970/procedimiento
2024,C-2024-00092249,CEAA-ADQ-PROAGUA-027-2024,ACCIONES DE DESINFECCIÓN DEL AGUA PURIFICADOR DE AGUA DE ULTRA O NANO FILTRACIÓN,CONSTRUCCIONES TEKSARE SA DE CV,CTE210319SQA,Presunto,,2024-07-15,False,COMISIÓN ESTATAL DE AGUA Y ALCANTARILLADO,SUBDIRECCIÓN DE LICITACIONES Y PRECIOS UNITARIOS,GEM,HIDALGO,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS POR EXCEPCIÓN,1202586.21,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/02c465d83098452cbbd355364448f491/procedimiento
2024,C-2024-00092247,CEAA-ADQ-PROAGUA-026-2024,ACCIONES DE DESINFECCIÓN DEL AGUA PURIFICADOR DE AGUA DE ULTRA O NANO FILTRACIÓN,CONSTRUCCIONES TEKSARE SA DE CV,CTE210319SQA,Presunto,,2024-07-15,False,COMISIÓN ESTATAL DE AGUA Y ALCANTARILLADO,SUBDIRECCIÓN DE LICITACIONES Y PRECIOS UNITARIOS,GEM,HIDALGO,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS POR EXCEPCIÓN,1102500.0,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b921db1add7844f8aeb18802b6fd3041/procedimiento
2023,C-2023-00083249,CEAA-ADQ-PROAGUA-MFIJ-11/2023,ACCIONES DE DESINFECCIÓN DEL AGUA PURIFICADOR DE AGUA DE ULTRA O NANO FILTRACIÓN,CONSTRUCCIONES TEKSARE SA DE CV,CTE210319SQA,Presunto,,2023-08-27,False,COMISIÓN ESTATAL DE AGUA Y ALCANTARILLADO,SUBDIRECCIÓN DE LICITACIONES Y PRECIOS UNITARIOS,GEM,HIDALGO,ADJUDICACIÓN DIRECTA POR INVITACIÓN A CUANDO MENOS TRES PERSONAS DESIERTA,525000.0,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/50f56850a5a440d2baf83ff80f51deef/procedimiento
2023,C-2023-00006938,134/2023,MANTENIMIENTO EDIFICIOS - LIMPIEZA DE CRISTALES,INGENIUS Y MATERIALES SA DE CV,IMA180316M31,Presunto,,2023-02-24,False,"INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA, A.C.",DIRECCION DE ADMINISTRACION Y FINANZAS,APF,,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,326760.0,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/428b7b8585d2464c8910350983e1d082/procedimiento
2024,C-2024-00145334,UTGZ-VARIOS-24,ADQUISICION DE MATERIALE S,LA ORIGINAL DEL PUERTO SA DE CV,OPU180406PVA,Presunto,,2024-11-28,False,UNIVERSIDAD TECNOLÓGICA DE GUTIERREZ ZAMORA,DEPARTAMENTO DE RECURSOS MATERIALES,GEM,VERACRUZ DE IGNACIO DE LA LLAVE,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,323913.56,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a55371e32ddb4bbd8a1a2633fd22830f/procedimiento
2023,C-2023-00003015,60/2023,MATERIAL ELÉCTRICO,INGENIUS Y MATERIALES SA DE CV,IMA180316M31,Presunto,,2023-02-02,False,"INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA, A.C.",DIRECCION DE ADMINISTRACION Y FINANZAS,APF,,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,282609.9,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/3989df8f7877488d90871f03d46cdcfa/procedimiento
2023,C-2023-00080319,CEAA-ADQ-PROAGUA-MFIJ-01/2023,ACCIONES DE DESINFECCIÓN DEL AGUA INSTALACIÓN DE HIPOCLORADOR (EQ1),CONSTRUCCIONES TEKSARE SA DE CV,CTE210319SQA,Presunto,,2023-07-31,False,COMISIÓN ESTATAL DE AGUA Y ALCANTARILLADO,SUBDIRECCIÓN DE LICITACIONES Y PRECIOS UNITARIOS,GEM,HIDALGO,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS POR EXCEPCIÓN,219960.0,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/77dc16649b5344e5ba49e0260adea4ef/procedimiento
2023,C-2023-00016374,AD-020000877-021-2023,SERVICIO DE ARRENDAMIENTO DE MOBILIARIO,RICARDO RAFAEL MEDELLIN LUMBRERAS,MELR7906061S0,Presunto,,2023-03-17,False,SECRETARIA DE BIENESTAR,DELEGACION TAMAULIPAS,APF,,ADJUDICACIÓN DIRECTA POR AUTORIZACIÓN DE OM O EQUIVALENTE,172413.79,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/05d89aed49744a779898291951afe38b/procedimiento
2024,C-2024-00079628,ADN/03891C999-135-2024,"SERVICIO DE MANTENIMIENTO DEL INMUEBLE DE EL COLEF, EN EL VALLE DE GUADALUPE",CRUZ CAMARGO TRINIDAD,CATC750503PK1,Presunto,,2024-05-27,False,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",DIRECCION DE RECURSOS MATERIALES Y SERVICIOS,APF,,ADJUDICACIÓN DIRECTA POR MANTENIMIENTO SIN PRECISIÓN DEL ALCANCE,167300.0,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a930e46cf5774e72b3dfdacf02153927/procedimiento
2023,C-2023-00091005,DEM/DOSG/AD/0060/2023,SERVICIO DE TRANSPORTE PARA PERSONAL A EVENTOS DEPORTIVOS,PROVISION DE SERVICIOS NECRON SA DE CV,PSN1711107C4,Presunto,,2023-08-14,False,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,DELEGACION ESTADO DE MEXICO/DEPARTAMENTO DE OBRAS Y SERVICIOS GENERALES 2,APF,,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,86206.9,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/565744764ab1433881f456d8cc783de8/procedimiento
2023,C-2023-00015700,AD-0200000877-018-2023,ADQUISICION DE MATERIALES DE LIMPIEZA,PERLA YADIRA PEREZ BAUTISTA,PEBP800320QA1,Presunto,,2023-03-17,False,SECRETARIA DE BIENESTAR,DELEGACION TAMAULIPAS,APF,,ADJUDICACIÓN DIRECTA POR AUTORIZACIÓN DE OM O EQUIVALENTE,86206.9,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/d08a6fb9f5544cfbb73882ff12e5d8e7/procedimiento
2023,C-2023-00001590,AD-0200000877-001-2023,ADQUISICION DE MATERIALES DE LIMPIEZA,PERLA YADIRA PEREZ BAUTISTA,PEBP800320QA1,Presunto,,2023-01-18,False,SECRETARIA DE BIENESTAR,DELEGACION TAMAULIPAS,APF,,ADJUDICACIÓN DIRECTA POR AUTORIZACIÓN DE OM O EQUIVALENTE,86150.0,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/dd7a40069c7a46e0bfa99e6ad63eb8ac/procedimiento
2025,C-2025-00023824,ADN/03891C999-038-2025,"SERVICIO DE MANTENIMIENTO DEL INMUEBLE DE EL COLEF, EN EL VALLE DE GUADALUPE",CRUZ CAMARGO TRINIDAD,CATC750503PK1,Presunto,,2025-03-10,False,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",DIRECCION DE RECURSOS MATERIALES Y SERVICIOS,APF,,ADJUDICACIÓN DIRECTA POR MANTENIMIENTO SIN PRECISIÓN DEL ALCANCE,75647.52,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/90c48007b69f4144898dad7f874875a5/procedimiento
2023,C-2023-00001911,AD-020000877-009-2023,SERVICIO DE ARRENDAMIENTO DE MOBILIARIO,RICARDO RAFAEL MEDELLIN LUMBRERAS,MELR7906061S0,Presunto,,2023-01-19,False,SECRETARIA DE BIENESTAR,DELEGACION TAMAULIPAS,APF,,ADJUDICACIÓN DIRECTA POR AUTORIZACIÓN DE OM O EQUIVALENTE,56034.479999999996,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/abd63dda4d784b1baf1f113930497d51/procedimiento
2023,C-2024-00090134,CADPE-EM-LPN-012/2023 Y/O LA-75-T35-916039984-N-19-2023-1,MATERIALES Y ÚTILES CONSUMIBLES,ZETA COMPUTADORAS SA DE CV,ZCO970716LE1,Presunto,,2023-12-22,False,COMITÉ DE ADQUISICIONES DEL PODER EJECUTIVO,SUBDIRECCIÓN OPERATIVA,GEM,MICHOACÁN DE OCAMPO,LICITACIÓN PÚBLICA,39829.2,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/4fdc2ad54ac6440f8b412997832b6916/procedimiento
2023,C-2023-00050463,ADN/03891C999-062-2023,SERVICIO DE LEVANTAMIENTO TOPOGRÁFICO,CRUZ CAMARGO TRINIDAD,CATC750503PK1,Presunto,,2023-05-01,False,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",DIRECCION DE RECURSOS MATERIALES Y SERVICIOS,APF,,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,37510.0,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/94d048df6e014ecb8594d9b776976c5e/procedimiento
