estado_comprador,id_entidad,id_sujeto,sujeto_obligado,ejercicio,tipo_procedimiento,materia,caracter,expediente,num_contrato,proveedor,rfc_norm,fecha_efectiva,importe,tipo_monto,moneda,direccion_anuncio,url_fallo,municipio_proveedor,cp_proveedor,origen_recursos,convenio_modif,descripcion,objeto,fecha_actualizacion,formato,rfc_valido,es_persona_moral,fecha_constitucion_rfc,nombre_sfp,multa,institucion_sancionadora,inicio,fin,plazo_txt,durante_inhabilitacion
SAN LUIS POTOSÍ,24,12300,SLP - SECRETARIA DE EDUCACION DEL GOBIERNO DEL ESTADO,2024,Adjudicación directa,Servicios,Nacional,12507,12507,"SOL VALLE DORADO, S.A.P.I. DE C.V.",SVD840214ME9,2024-07-01,73624.04,con_impuestos,PESO MEXICANO,http://www.cegaipslp.org.mx/HV2024Dos.nsf/nombre_de_la_vista/A2423CE587795E4B06258BEF00705A60/$File/12507.pdf,http://www.cegaipslp.org.mx/HV2024Dos.nsf/nombre_de_la_vista/A2423CE587795E4B06258BEF00705A60/$File/12507.pdf,TLALNEPANTLA DE BAZ,54020,Estatales,No,REPARACIÓN Y MANTENIMIENTO DE EQUIPO DE TRANSPORTE TERRESTRE,REPARACIÓN Y MANTENIMIENTO DE EQUIPO DE TRANSPORTE TERRESTRE,2025-01-20,59695,True,True,1984-02-14,"SOL VALLE DORADO, S.A.P.I. DE C.V.","{'monto': '105150', 'monto_cf': '             105,150.00'}","{'nombre': 'Aeropuertos y Servicios Auxiliares', 'clave_dependencia': '09085'}",,,,False
DURANGO,10,1792,DUR - PE - Universidad Politecnica de Gomez Palacio (UPGOP),2024,Adjudicación directa,Servicios,Nacional,10JLH00002,B4201,Maxi Servicios de Mexico S.A. de C.V.,MSM0705117N6,2024-10-07,175960.4,con_impuestos,Peso,https://transparencia.durango.gob.mx/archivo/upgop/articulo65/XXIX/a/trimestral/2024/FACT._MAXI_175960.40_0001_1738167532065.pdf,,Torreón,27000,Estatales,No,Servicio de limpieza Septiembre,Servicio de limpieza de Septiembre,,59429,True,True,2007-05-11,"MAXI SERVICIOS DE MÉXICO, S.A. DE C.V.","{'monto': '619656.8', 'monto_cf': '             619,656.80'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2025-09-13,2026-10-13,"1 año, 1 mes",False
ZACATECAS,32,16120,ZAC - Junta Intermunicipal de Agua Potable y Alcantarillado de Zacatecas.,2024,Adjudicación directa,Adquisiciones,Nacional,C2024-2117,C2024-2117,COMERCIALIZADORA ORTICHART S.A. DE C.V.,COR141022CT0,,4035.64,con_impuestos,NACIONAL,,,MEXICO,6100,,No,UNIFORMES PARA USO PERSONAL CORRESPONDIENTE AL 2024--VIENE DE OCTUBRE C2024-1773--VIENE DE NOVIEMBRE C2024-1934,,2024-12-31,59857,True,True,2014-10-22,"COMERCIALIZADORA ORTICHART, S.A. DE C.V.","{'monto': '1009701', 'monto_cf': '           1,009,701.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2026-01-29,2027-07-29,"1 año, 6 meses",False
NUEVO LEÓN,19,11055,"NLE - Servicios de Salud de Nuevo Leon, O.P.D.",2024,Licitación pública,Servicios,Nacional,LP-919044992-N19-2024,ADC20240054.1,"MED EVOLUTION, S.A.P.I. DE C.V.",MEV150219DY0,2024-04-10,21165297.64,con_impuestos,MONEDA NACIONAL,https://transparencia.nl.gob.mx/archivos/ADC202400541_SERVICIO_INTEGRAL_Y_ADMINISTRATIVO_DE_DISPENSACION_AUTOMATIZADA_Y_CONTROL_DE_MEDICAMENTOS_SSNL_1717105325.pdf,,CUERNAVACA,62260,Estatales,No,SERVICIO INTEGRAL Y ADMINISTRACIÓN DE DISPENSACIÓN AUTOMATIZADA Y CONTROL DE MEDICAMENTOS Y MATERIALES,SERVICIO INTEGRAL Y ADMINISTRACIÓN DE DISPENSACIÓN AUTOMATIZADA Y CONTROL DE MEDICAMENTOS Y MATERIALES,2024-04-30,59606,True,True,2015-02-19,"MED EVOLUTION, S.A.P.I. DE C.V.","{'monto': '663918', 'monto_cf': '             663,918.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2025-09-10,2026-10-10,"1 año, 1 mes",False
QUERÉTARO,22,4562,QUE - Poder Ejecutivo del Estado de Queretaro,2025,Adjudicación directa,Servicios,Nacional,UCS/128/2025,UCS/128/2025,Plataforma digital Joaquin López Doriga S. de R.L. de C.V,PDJ140411SC9,2025-05-14,1160000.0,con_impuestos,peso mexicano,https://portal.queretaro.gob.mx/ShowAs.aspx?Nombre=380435952_CONTRATO_UCS-128-2025.pdf&Ruta=Uploads/Formato_Art66FXXII_2/380435952_CONTRATO_UCS-128-2025.pdf,https://portal.queretaro.gob.mx/ShowAs.aspx?Nombre=348621178_CEDULA_UCS-128-2025.pdf&Ruta=Uploads/Formato_Art66FXXVII_2/348621178_CEDULA_UCS-128-2025.pdf,Ciudad de México,11590,Estatales,No,,Servicios de comunicación social a través de medios digitales en su modalidad de páginas web nacional,2025-07-01,59658,True,True,2014-04-11,PLATAFORMA DIGITAL JOAQUÍN LÓPEZ DORIGA S. DE R.L. DE C.V.,"{'monto': '124930', 'monto_cf': '             124,930.00'}","{'nombre': 'Financiera Nacional de Desarrollo Agropecuario, Rural, Forestal Y Pesquero', 'clave_dependencia': '06565'}",,,,False
ZACATECAS,32,16120,ZAC - Junta Intermunicipal de Agua Potable y Alcantarillado de Zacatecas.,2024,Adjudicación directa,Adquisiciones,Nacional,C2024-2115,C2024-2115,COMERCIALIZADORA ORTICHART S.A. DE C.V.,COR141022CT0,,807.13,con_impuestos,NACIONAL,,,MEXICO,6100,,No,UNIFORMES PARA USO DE PERSONAL CORRESPONDIENTE AL 2024--VIENE DE OCTUBRE C2024-1880--VIENE DE NOVIEMBRE C2024-1917,,2024-12-31,59857,True,True,2014-10-22,"COMERCIALIZADORA ORTICHART, S.A. DE C.V.","{'monto': '1009701', 'monto_cf': '           1,009,701.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2026-01-29,2027-07-29,"1 año, 6 meses",False
CIUDAD DE MÉXICO,9,1631,CMX - Secretaria de Obras y Servicios,2025,Licitación pública,Obra pública,Nacional,909005989-DGCOP-L-148-2025,DGCOP-LPN-L-1-366-25,"EYSSA MEXICANA, S.A. DE C.V.",EME720914C86,2025-11-19,10759545.88,con_impuestos,PESOS MEXICANOS,https://transparencia.cdmx.gob.mx/storage/app/uploads/public/697/7ef/981/6977ef9812859082589140.pdf,https://transparencia.cdmx.gob.mx/storage/app/uploads/public/697/806/a94/697806a941c2e136702484.pdf,COYOACÁN,04370,Estatales,No,"TRABAJOS DE MANTENIMIENTO EN PLANTELES ESCOLARES DE PREESCOLAR, PRIMARIA Y SECUNDARIA DE LA CIUDAD DE MÉXICO, PARA EL PROGRAMA 1, 2, 3 POR MI ESCUELA, RENOVAR PARA TRANSFORMAR EN LAS ESCUELAS: TONALI, PROFR. VICTOR MANUEL MANZANO DELGADO, ESCUELA SECUNDARIA TÉCNICA 42, MA. ELENA CHANES, CAPITÁN IGNACIO JOSÉ DE ALLENDE, ESCUELA SECUNDARIA TÉCNICA 56; EN ALCALDÍAS CUAUHTÉMOC Y TLALPAN.","TRABAJOS DE MANTENIMIENTO EN PLANTELES ESCOLARES DE PREESCOLAR, PRIMARIA Y SECUNDARIA DE LA CIUDAD DE MÉXICO, PARA EL PROGRAMA 1, 2, 3 POR MI ESCUELA, RENOVAR PARA TRANSFORMAR EN LAS ESCUELAS: TONALI, PROFR. VICTOR MANUEL MANZANO DELGADO, ESCUELA SECUNDARIA TÉCNICA 42, MA. ELENA CHANES, CAPITÁN IGNACIO JOSÉ DE ALLENDE, ESCUELA SECUNDARIA TÉCNICA 56; EN ALCALDÍAS CUAUHTÉMOC Y TLALPAN.",2025-12-31,59413,True,True,1972-09-14,"EYSSA MEXICANA, S.A. DE C.V.","{'monto': '61110', 'monto_cf': '              61,110.00'}","{'nombre': 'Colegio de Postgraduados', 'clave_dependencia': '08140'}",2007-04-20,2007-07-20,3 meses,False
HIDALGO,13,14669,HID - Universidad Autonoma del Estado de Hidalgo,2025,Adjudicación directa,Servicios,Nacional,12501,,VILMOY SA DE CV,VIL050518596,,,techo_maximo,Pesos,https://www.uaeh.edu.mx/transparencia/contratos/,,Pachuca de Soto,42060,Estatales,No,"[[1, 'Denominación o razón social', 'VILMOY SA DE CV'], [1, 'Registro Federal de Contribuyentes (RFC) de las personas físicas o morales que presentaron una proposición u oferta', 'VIL050518596'], [1, 'Nombre(s)', ''], [1, 'Segundo apellido', ''], [9, 'Sexo (catálogo)', ''], [1, 'Primer apellido', '']]
[[1, 'Denominación o razón social', 'LABORATORIO QUIMICO MICROBIOLÓGICO S DE RL DE CV'], [1, 'Nombre(s)', ''], [1, 'Segundo apellido', ''], [1, 'Registro Federal de Contribuyentes (RFC) de las personas físicas o morales que presentaron una proposición u oferta', ''], [9, 'Sexo (catálogo)', ''], [1, 'Primer apellido', '']]",Pago por el servicio mensual del estudio de calidad del agua en los laboratorios de Gastronomía para el año 2025,2026-01-15,59483,True,True,2005-05-18,"VILMOY, S.A. DE C.V.","{'monto': '130959.5', 'monto_cf': '             130,959.50'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2024-09-11,2025-03-11,3 meses,False
SONORA,26,4912,SON - Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado de Sonora (ISSSTESON),2024,Adjudicación directa,Adquisiciones,Nacional,177475,177475,"MEFALSA MEDICAMENTOS Y FARMACOS DE LEON, S.A. DE C.V.",MMF141020489,2024-07-19,0.0,con_impuestos,,,,LEÓN,37257,Estatales,,DICLOFENACO+COMPLEJO B INY. 75MG+100MG.+100MG.+1 MG. 3 ML. C/3,,2024-09-30,59748,True,True,2014-10-20,"MEFALSA MEDICAMENTOS Y FÁRMACOS DE LEÓN, S.A. DE C.V.,","{'monto': '686048.6', 'monto_cf': '             686,048.60'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2025-06-11,2026-07-11,"1 año, 1 mes",False
HIDALGO,13,14669,HID - Universidad Autonoma del Estado de Hidalgo,2025,Adjudicación directa,Servicios,Nacional,14887,,VILMOY SA DE CV,VIL050518596,,,techo_maximo,Pesos,https://www.uaeh.edu.mx/transparencia/contratos/,,Pachuca de Soto,42060,Estatales,No,"[[1, 'Denominación o razón social', 'VILMOY SA DE CV'], [1, 'Registro Federal de Contribuyentes (RFC) de las personas físicas o morales que presentaron una proposición u oferta', 'VIL050518596'], [1, 'Nombre(s)', ''], [1, 'Segundo apellido', ''], [9, 'Sexo (catálogo)', ''], [1, 'Primer apellido', '']]",Adquisición de servicio de análisis de agua para la planta tratadora de Ciudad del Conocimiento con la finalidad de asegurarse que el agua cumpla con las normas establecidas.,2026-01-15,59483,True,True,2005-05-18,"VILMOY, S.A. DE C.V.","{'monto': '130959.5', 'monto_cf': '             130,959.50'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2024-09-11,2025-03-11,3 meses,False
CHIAPAS,7,12567,CHP - Ayuntamiento de Tapachula,2024,Invitación a cuando menos tres personas,Adquisiciones,Nacional,13,OM/GC/CAD/572/2024,"INMESUR INSUMOS Y EQUIPAMIENTO MEDICO S.A. DE C.V.,",IIE1807231C0,2024-04-15,1608320.23,con_impuestos,MXN,https://s3.amazonaws.com/filesystem.tapachula.gob.mx/sites/transparency/pdf/SECRETARIA+DE+OFICILIA+MAYOR+MUNICIPAL+/SEGUNDO+TRIMESTRE+2024/2o.TRIM-2024.FRAC.XXVIII-DOCUMENTO+AL+CONTRATO+Y+SUS+ANEXOS.pdf,https://s3.amazonaws.com/filesystem.tapachula.gob.mx/sites/transparency/pdf/SECRETARIA+DE+OFICILIA+MAYOR+MUNICIPAL+/SEGUNDO+TRIMESTRE+2024/2o.TRIM-2024.FRAC.XXVIII-ACTA+DE+FALLO.pdf,TAPACHULA,30700,Municipales,No,Adquisición de medicamentos para la Secretaría de Salud Pública Municipal.,Adquisición de medicamentos para la Secretaría de Salud Pública Municipal.,2024-09-30,59365,True,True,2018-07-23,"INMESUR INSUMOS Y EQUIPAMIENTO MÉDICO, S.A. DE C.V.","{'monto': '155610', 'monto_cf': '             155,610.00'}","{'nombre': 'Hospital Regional de Alta Especialidad la Peninsula de Yucatan', 'clave_dependencia': '12XX1'}",2024-05-29,2024-08-29,3 meses,False
NUEVO LEÓN,19,11060,NLE - Unidad de Integracion Educativa,2025,Adjudicación directa,Adquisiciones,Nacional,DRMS-3169/2025,DRMS-3169/2025,"BORSA COMERCIALIZADORA, S.A. DE C.V.",BCO920226PC3,2025-06-18,4333.76,con_impuestos,PESOS,https://betatransparencia.nl.gob.mx/Anexo/DescargarAnexo?Id=UTZWK2xjYkZUdzQ9&doc=3169.pdf,,MONTERREY,64610,Federales,No,"Adquisicion de 2 Cafeteras Con Capacidad Hasta Para  50 Tazas,  Esto Con el Fin de Cubrir las Necesidades de Esta Subsecretaria de Recursos Humanos y Areas Que Dependen de la Misma.","Adquisicion de 2 Cafeteras Con Capacidad Hasta Para  50 Tazas,  Esto Con el Fin de Cubrir las Necesidades de Esta Subsecretaria de Recursos Humanos y Areas Que Dependen de la Misma.",2025-06-30,59606,True,True,1992-02-26,"BORSA COMERCIALIZADORA, S.A. DE C.V.","{'monto': '764460', 'monto_cf': '             764,460.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2012-01-26,2014-04-26,"2 años, 3 meses",False
TABASCO,27,5078,TAB - SECRETARIA DE SALUD (SS),2024,Invitación a cuando menos tres personas,Obra pública,Nacional,CO11260597-147/2023,CO11260597-147/2023,RUNKAR SOLUCIONES S.A. DE C.V.,RSO20020694A,2023-11-06,604327.78,con_impuestos,NACIONAL,https://transparencia.tabasco.gob.mx/media/SS/2024/3/720144.pdf,https://transparencia.tabasco.gob.mx/media/SS/2024/3/720144.pdf,CENTRO,86529,Federales,Si,NO DATO,NO DATO,2024-09-30,59766,True,True,2020-02-06,"RUNKAR SOLUCIONES, S.A. DE C.V .","{'monto': '336567', 'monto_cf': '             336,567.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2025-06-24,2025-12-24,6 meses,False
NUEVO LEÓN,19,11060,NLE - Unidad de Integracion Educativa,2024,Adjudicación directa,Adquisiciones,Nacional,DRMS-0498/2024,DRMS-0498/2024,"BORSA COMERCIALIZADORA, S.A. DE C.V.",BCO920226PC3,2024-10-08,15080.0,con_impuestos,PESOS,https://betatransparencia.nl.gob.mx/Anexo/DescargarAnexo?Id=WHJpVnk2MmVFZlE9&doc=0498.pdf,,MONTERREY,64610,Federales,No,"Adquisicion de 2 Despachadores de Agua Con Garrafon Oculto, Agua Fria y Caliente Para Brindar Atencion a los Asistentes en las Diversas Reuniones de Trabajo de la Oficina de la C. Secretaria.","Adquisicion de 2 Despachadores de Agua Con Garrafon Oculto, Agua Fria y Caliente Para Brindar Atencion a los Asistentes en las Diversas Reuniones de Trabajo de la Oficina de la C. Secretaria.",2024-10-31,59606,True,True,1992-02-26,"BORSA COMERCIALIZADORA, S.A. DE C.V.","{'monto': '764460', 'monto_cf': '             764,460.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2012-01-26,2014-04-26,"2 años, 3 meses",False
HIDALGO,13,2131,HID - Poder Ejecutivo del Estado de Hidalgo,2024,Licitación pública,Servicios,Nacional,OEEH/LPN/008/2024,OEEH-LPN-010-2024,GEN Industrial S.A. de C.V.,GIN811027SS4,2024-08-29,935540.0,con_impuestos,Peso,https://transparenciadocs.hidalgo.gob.mx/ENTIDADES/OEventos/dir2/2024/F28/3T/OEEH-LPN-010-2024.pdf,https://transparenciadocs.hidalgo.gob.mx/ENTIDADES/OEventos/dir4/Adquisiciones/2024/LPN_008/JFALLO_OEEH_LPN_008_2024.pdf,Monterrey,64650,Estatales,No,Servicios de limpieza y manejo de desechos,Servicios de limpieza y manejo de desechos,2024-10-10,59483,True,True,1981-10-27,"GEN INDUSTRIAL, S.A. DE C.V.","{'monto': '157685', 'monto_cf': '             157,685.00'}","{'nombre': 'Hospital General Dr. Manuel Gea Gonzalez', 'clave_dependencia': '12195'}",2025-12-31,2025-03-31,3 meses,False
VERACRUZ,30,5642,VER - Universidad Veracruzana,2024,Adjudicación directa,Servicios,Nacional,AD,153002,Abastecedora Tecnologica Especializada S.A. de C.V.,ATE070307EN4,2024-06-04,16895.61,con_impuestos,Pesos Mexicanos,,,,,Estatales,,"Instalación, Reparación y Mantenimiento de Equipo e Instrumental Médico y de Laboratorio","Instalación, Reparación y Mantenimiento de Equipo e Instrumental Médico y de Laboratorio",2024-06-30,59828,True,True,2007-03-07,"ABASTECEDORA TECNOLÓGICA ESPECIALIZADA, S.A. DE C.V.","{'monto': '488565', 'monto_cf': '             488,565.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2025-11-05,2026-08-05,9 meses,False
HIDALGO,13,14669,HID - Universidad Autonoma del Estado de Hidalgo,2025,Adjudicación directa,Servicios,Nacional,12505,,VILMOY SA DE CV,VIL050518596,,,techo_maximo,Pesos,https://www.uaeh.edu.mx/transparencia/contratos/,,Pachuca de Soto,42060,Estatales,No,,Pago por el servicio mensual del estudio de calidad del agua en los laboratorios de Gastronomía para el año 2025,2026-01-15,59483,True,True,2005-05-18,"VILMOY, S.A. DE C.V.","{'monto': '130959.5', 'monto_cf': '             130,959.50'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2024-09-11,2025-03-11,3 meses,False
ZACATECAS,32,16120,ZAC - Junta Intermunicipal de Agua Potable y Alcantarillado de Zacatecas.,2024,Adjudicación directa,Adquisiciones,Nacional,C2024-2186,C2024-2186,COMERCIALIZADORA ORTICHART S.A. DE C.V.,COR141022CT0,,6264.0,con_impuestos,NACIONAL,,,MEXICO,6100,,No,UNIFORMES PARA USO DE PERSONAL CORRESPONDIENTE AL 2024,,2024-12-31,59857,True,True,2014-10-22,"COMERCIALIZADORA ORTICHART, S.A. DE C.V.","{'monto': '1009701', 'monto_cf': '           1,009,701.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2026-01-29,2027-07-29,"1 año, 6 meses",False
CIUDAD DE MÉXICO,9,20737,CMX - Secretaria de las Mujeres,2025,Invitación a cuando menos tres personas,Adquisiciones,Nacional,SM/007/2025,SM/007/2025,"D´Sazón Seguridad Alimentaria, S.A. de C.V.",DSS121222IC0,2025-01-10,791208.79,con_impuestos,Nacional,http://semujerestransparencia.cdmx.gob.mx/DEAF/JUDRMAyS/PLATAFORMA/2025/SM-007-2025.pdf,http://semujerestransparencia.cdmx.gob.mx/DEAF/JUDRMAyS/PLATAFORMA/2025/ACTA_DE%20_FALLO_SM_IR-002.2025.pdf,Iztapalapa,9900,Estatales,No,Adquisición de alimentos perecederos y no perecederos para la casa de emergencia y el refugio de la Secretaría de las Mujeres de la Ciudad de México,Adquisición de Alimentos perecederos y no perecederos para la casa de emergencia y el refugio de la Secretaría de las Mujeres de la Ciudad de México,2025-04-30,59413,True,True,2012-12-22,"D´SAZÓN SEGURIDAD ALIMENTARIA, S.A. DE C.V.","{'monto': '537720', 'monto_cf': '             537,720.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2026-01-23,2027-01-23,1 año,False
CAMPECHE,4,842,"CAM - Secretaria de Administracion, Finanzas y Planeacion del Poder Ejecutivo del Estado de Campeche",2024,Adjudicación directa,Adquisiciones,Nacional,SAFIN03-03SAFIN-23DA-SAE-1.1-00199-2024,OC-0357,Irving Yadir Aguilar Gonzalez,AUGI8711206B7,2024-12-02,2088.0,con_impuestos,Peso Mexicano,https://transparencia.safin.campeche.gob.mx/70-28/c/2024/4to-trimestre?download=30299:oc-0357-2024&start=3500,https://transparencia.safin.campeche.gob.mx/70-28/c/2024/4to-trimestre?download=32043:tarjeta-oc-0357-2024&start=3500,Campeche,24040,Federales,No,Equipos y aparatos audiovisuales,Equipos y aparatos audiovisuales,2025-01-30,59302,True,False,,IRVING YADIR AGUILAR GONZALEZ,"{'monto': '78885', 'monto_cf': '              78,885.00'}","{'nombre': 'Secretaría de Medio Ambiente y Recursos Naturales', 'clave_dependencia': '00016'}",2009-11-23,2010-02-23,3 meses,False
BAJA CALIFORNIA,2,11660,BCN - Oficialia Mayor de Gobierno,2025,Adjudicación directa,Servicios,Nacional,5026663-1,5026663-1,GEN INDUSTRIAL S.A. DE C.V.,GIN811027SS4,2025-05-22,51774.0,con_impuestos,MEXICANA,http://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=setBC/&nombreArchivo=FuenteOrigen/29/8020251230114510.jpg&descargar=false,,MEXICALI,21387,Estatales,No,SERVICIOS DE LIMPIEZA HIGIENE Y FUMIGA,SERVICIOS DE LIMPIEZA HIGIENE Y FUMIGA,2025-06-30,59258,True,True,1981-10-27,"GEN INDUSTRIAL, S.A. DE C.V.","{'monto': '157685', 'monto_cf': '             157,685.00'}","{'nombre': 'Hospital General Dr. Manuel Gea Gonzalez', 'clave_dependencia': '12195'}",2025-12-31,2025-03-31,3 meses,False
TABASCO,27,5109,"TAB - H. AYUNTAMIENTO DEL MUNICIPIO DE TACOTALPA, TABASCO",2024,Invitación a cuando menos tres personas,Obra pública,Nacional,MTA-FISE/RAMO33-IR-050E/2024,DOOTSM-MTA-FISE/RAMO33-IR-050E/2024,"TECNICOS Y CONSULTORES ESPECIALISTAS, S.A. DE C.V.",TCE030117GJ3,2024-06-07,3246395.38,con_impuestos,MX,https://drive.google.com/file/d/1O9xGRh2HniFLN9v0QP0Gi6adRbxS60Sm/view?usp=sharing,https://drive.google.com/file/d/1O9xGRh2HniFLN9v0QP0Gi6adRbxS60Sm/view?usp=sharing,CENTRO,86126,Federales,No,"027-K008.- CONSTRUCCION DE CARRETERA CON MEZCLA ASFALTICA EN EL MUNICIPIO DE TACOTALPA, EJIDO LAZARO CARDENAS (MADRIGAL 3RA. SECCION).",CONSTRUCCION DE CARRETERA CON MEZCLA ASFALTICA.,2024-10-01,59766,True,True,2003-01-17,"TECNICOS Y CONSULTORES ESPECIALISTAS, S.A. DE C.V.","{'monto': '558244.9', 'monto_cf': '             558,244.90'}","{'nombre': 'Pemex Exploración Y Produccion', 'clave_dependencia': '18575'}",2010-09-15,2012-07-15,"1 año, 10 meses",False
CIUDAD DE MÉXICO,9,20744,CMX - Alcaldia Gustavo A. Madero,2025,Adjudicación directa,Adquisiciones,Nacional,02CD072P0006125,02CD072P0006125,"D' SAZON SEGURIDAD ALIMENTARIA, S.A. DE C.V.",DSS121222IC0,2025-01-03,2000000.0,con_impuestos,NACIONAL,http://www.gamadero.gob.mx/GAM/Transparencia2025/A121/30/A121Fr30A_2025_T01-CONTRATO_006.pdf,http://www.gamadero.gob.mx/GAM/Transparencia2025/A121/30/A121Fr30A_2025_T01-OA _CONTRATO_06.pdf,IZTAPALAPA,9900,Estatales,No,ADQUISICION DE PRODUCTOS ALIMENTICIOS Y BEBIDAS PARA PERSONAS,ADQUISICION DE PRODUCTOS ALIMENTICIOS Y BEBIDAS PARA PERSONAS,2025-03-31,59413,True,True,2012-12-22,"D´SAZÓN SEGURIDAD ALIMENTARIA, S.A. DE C.V.","{'monto': '537720', 'monto_cf': '             537,720.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2026-01-23,2027-01-23,1 año,False
AGUASCALIENTES,1,499,AGU - INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,2024,Adjudicación directa,Servicios,Nacional,ISSEA-CAAS-FED-REX-01-24,1335-24,"SIEMENS HEALTHCARE DIAGNOSTICS, S. DE R.L. DE C.V.",SHD080618IA7,2024-07-26,7518924.73,con_impuestos,PESO MEXICANO,https://www.issea.gob.mx/docstranspa/dirjuridica/1335%20siemens.pdf,https://,MIGUEL HIDALGO,11560,Federales,No,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPOS MÉDICOS DE LA MARCA SIEMENS,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPOS MÉDICOS DE LA MARCA SIEMENS,2024-10-14,59240,True,True,2008-06-18,"SIEMENS HEALTHCARE DIAGNOSTICS, S. DE R.L. DE C.V.","{'monto': '566175', 'monto_cf': '             566,175.00'}","{'nombre': 'Instituto de Seguridad y Servicios Sociales de los Trabajadores del  Estado', 'clave_dependencia': '00637'}",,,,False
TABASCO,27,5050,TAB - INSTITUTO DE SEGURIDAD SOCIAL DEL ESTADO DE TABASCO (ISSET),2024,Adjudicación directa,Adquisiciones,Nacional,3163,ISSET/DG/DA/061/2024,ABASTECEDORA DE INSUMOS PARA LA SALUD SA DE CV,AIS091015H50,2024-04-08,156877.0,con_impuestos,MXN,https://transparencia.tabasco.gob.mx/media/ISSET/2024/2/702775.pdf,,GUSTAVO A. MADERO,7700,Estatales,No,MEDICINAS Y PRODUCTOS FARMACEUTICOS,COMPRA,2024-06-30,59766,True,True,2009-10-15,"ABASTECEDORA DE INSUMOS PARA LA SALUD, S.A. DE C.V.","{'monto': '1051500', 'monto_cf': '           1,051,500.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2026-04-24,2028-08-11,"2 años, 6 meses",False
CIUDAD DE MÉXICO,9,1632,CMX - Secretaria de Gestion Integral de Riesgos y Proteccion Civil,2025,Licitación pública,Servicios,Nacional,LPN/SGIRPC/DEAF/002/2025,SGIRPC/DEAF/RMAS/CT/07/2025,"D´SAZÓN SEGURIDAD ALIMENTARIA, S.A. DE C.V.",DSS121222IC0,2025-02-07,381996.91,con_impuestos,MONEDA NACIONAL,Http://data.proteccioncivil.cdmx.gob.mx/transparencia/2025/ART121_FR30_T01_2025_BN19_censurado.pdf,Http://data.proteccioncivil.cdmx.gob.mx/transparencia/2025/ART121_FR30_T01_2025_L19.pdf,IZTAPALAPA,09900,Estatales,No,SUMINISTRO DE BOX LUNCH PARA LOS SERVIDORES PÚBLICOS DE LA SECRETARÍA DE GESTIÓN INTEGRAL DE RIESGOS Y PROTECCIÓN CIVIL PARA EL EJERCICIO 2025,SUMINISTRO DE BOX LUNCH PARA LOS SERVIDORES PÚBLICOS DE LA SECRETARÍA DE GESTIÓN INTEGRAL DE RIESGOS Y PROTECCIÓN CIVIL PARA EL EJERCICIO 2025,2025-03-31,59413,True,True,2012-12-22,"D´SAZÓN SEGURIDAD ALIMENTARIA, S.A. DE C.V.","{'monto': '537720', 'monto_cf': '             537,720.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2026-01-23,2027-01-23,1 año,False
